Four_Weeks_Periods,Retailer_Trade_Areas,Category,Sub_Category,Brand_High,Sales,Base_Sales,Incr_Sales,Units,Base_Units,Incr_Units,Percent_ACV,Any_Promo_Spend,Any_Promo_Base_Spend,Any_Promo_Incr_Spend,Disp_without_Feat_Spend,Disp_without_Feat_Base_Spend,Disp_without_Feat_Incr_Spend,Feat_and_Disp_Spend,Feat_and_Disp_Base_Spend,Feat_and_Disp_Incr_Spend,Feat_without_Disp_Spend,Feat_without_Disp_Base_Spend,Feat_without_Disp_Incr_Spend,No_Promo_Spend,No_Promo_Base_Spend,No_Promo_Incr_Spend,Price_Decr_Spend,Price_Decr_Base_Spend,Price_Decr_Incr_Spend,Any_Disp_Spend,Any_Disp_Base_Spend,Any_Disp_Incr_Spend,Any_Feat_Spend,Any_Feat_Base_Spend,Any_Feat_Incr_Spend,Any_Price_Decr_Spend,Any_Price_Decr_Base_Spend,Any_Price_Decr_Incr_Spend,Any_Promo_Units,Any_Promo_Base_Units,Any_Promo_Incr_Units,Disp_without_Feat_Units,Disp_without_Feat_Base_Units,Disp_without_Feat_Incr_Units,Feat_and_Disp_Units,Feat_and_Disp_Base_Units,Feat_and_Disp_Incr_Units,Feat_without_Disp_Units,Feat_without_Disp_Base_Units,Feat_without_Disp_Incr_Units,No_Promo_Units,No_Promo_Base_Units,No_Promo_Incr_Units,Price_Decr_Units,Price_Decr_Base_Units,Price_Decr_Incr_Units,Any_Disp_Units,Any_Disp_Base_Units,Any_Disp_Incr_Units,Any_Feat_Units,Any_Feat_Base_Units,Any_Feat_Incr_Units,Any_Price_Decr_Units,Any_Price_Decr_Base_Units,Any_Price_Decr_Incr_Units
4 W/E 03/31/12,WEST CENSUS TA,SOUP,CONDENSED SOUP,PRIVATE LABEL,104820,101150,3670,118692,98918,19774,100,40570,38812,1758,3980,3670,310,0,0,0,0,0,0,64251,62338,1912,36589,35142,1448,3980,3670,310,0,0,0,39381,37813,1568,52934,34822,18112,5858,4459,1399,0,0,0,0,0,0,65758,64096,1662,47076,30363,16713,5858,4459,1399,0,0,0,51446,33550,17895
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,ALESSI,22,24,-1,9,10,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,22,24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,-1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,BEAR CREEK,33418,30376,3042,9376,8391,985,100,15216,9180,6037,0,0,0,0,0,0,11753,6244,5510,18202,21196,-2994,3463,2936,527,0,0,0,11753,6244,5510,7192,4691,2502,4323,2453,1870,0,0,0,0,0,0,3362,1703,1659,5053,5938,-885,961,750,211,0,0,0,3362,1703,1659,2029,1201,828
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,BOB'S RED MILL,60,53,7,18,11,7,2,0,13,-13,0,0,0,0,0,0,0,0,0,60,40,20,0,13,-13,0,0,0,0,0,0,0,13,-13,0,3,-3,0,0,0,0,0,0,0,0,0,18,8,10,0,3,-3,0,0,0,0,0,0,0,3,-3
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,JOSIE'S CLASSIC CREATIONS,4,43,-39,1,10,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,-9,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,KNORR,4942,4880,62,2498,2448,50,96,280,148,132,0,0,0,0,0,0,0,0,0,4662,4731,-70,280,148,132,0,0,0,0,0,0,280,148,132,143,72,71,0,0,0,0,0,0,0,0,0,2355,2376,-21,143,72,71,0,0,0,0,0,0,143,72,71
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,LE GOUT,0,10,-10,0,3,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,LIPTON,33086,34000,-914,22938,23610,-672,100,93,174,-81,0,0,0,0,0,0,0,0,0,32993,33826,-833,93,174,-81,0,0,0,0,0,0,93,174,-81,69,113,-45,0,0,0,0,0,0,0,0,0,22869,23497,-628,69,113,-45,0,0,0,0,0,0,69,113,-45
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,MRS WEISS,46,57,-11,28,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,57,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,MY FAVORITE GOURMET,636,640,-3,133,134,-1,28,0,0,0,0,0,0,0,0,0,0,0,0,636,640,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,134,-1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,PRIVATE LABEL,10269,9969,300,11824,9406,2418,99,4458,4232,227,522,511,11,0,0,0,0,0,0,5810,5737,73,3936,3720,215,522,511,11,0,0,0,4173,3972,201,5823,3501,2321,534,414,121,0,0,0,0,0,0,6001,5904,97,5288,3088,2201,534,414,121,0,0,0,5591,3292,2299
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,SHORE LUNCH,7265,6818,447,1716,1548,168,86,5125,4199,925,3572,2785,787,0,0,0,0,0,0,2140,2619,-479,1553,1414,139,3572,2785,787,0,0,0,2193,1983,210,1209,944,265,837,627,210,0,0,0,0,0,0,507,603,-97,372,318,55,837,627,210,0,0,0,522,443,79
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY,28,38,-9,5,7,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,28,38,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,-2,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY & TABASCO,49,47,2,10,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,49,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,DRY SOUP,WYLER'S,23905,24079,-174,13272,13226,46,100,528,591,-63,0,0,0,0,0,0,0,0,0,23376,23488,-111,528,591,-63,0,0,0,0,0,0,528,591,-63,339,333,6,0,0,0,0,0,0,0,0,0,12933,12893,40,339,333,6,0,0,0,0,0,0,339,333,6
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RAMEN,MARUCHAN,93496,87117,6379,167966,158144,9822,100,16504,11939,4564,10842,10367,474,0,0,0,1379,644,735,76992,75178,1814,4283,928,3355,10842,10367,474,1379,644,735,5662,1572,4090,11682,5876,5806,2768,2653,115,0,0,0,6929,2610,4319,156284,152268,4016,1985,613,1372,2768,2653,115,6929,2610,4319,8914,3223,5691
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RAMEN,NISSIN,13637,12428,1209,22663,21088,1575,100,797,591,206,182,99,83,0,0,0,0,0,0,12841,11837,1003,615,492,123,182,99,83,0,0,0,615,492,123,991,675,316,94,52,42,0,0,0,0,0,0,21672,20413,1259,896,622,274,94,52,42,0,0,0,896,622,274
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,AMY'S,11056,11697,-641,3167,3383,-216,87,568,489,80,0,0,0,0,0,0,0,0,0,10487,11208,-720,568,489,80,0,0,0,0,0,0,568,489,80,141,112,29,0,0,0,0,0,0,0,0,0,3026,3271,-245,141,112,29,0,0,0,0,0,0,141,112,29
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,BAXTERS,22,17,4,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,CAMPBELL'S,304269,275425,28844,142042,122126,19916,100,63953,33751,30202,10958,8268,2690,7248,1809,5439,35890,16233,19656,240316,241674,-1358,9857,7440,2416,18207,10077,8129,43138,18042,25096,52819,24995,27824,35972,15720,20252,5166,3775,1391,4364,800,3564,21407,7816,13592,106070,106406,-336,5035,3329,1705,9530,4575,4955,25771,8615,17156,30493,11268,19224
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,DOMINIQUE'S,24,23,2,9,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,24,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,EARTH'S BEST,622,625,-4,178,178,0,31,0,0,0,0,0,0,0,0,0,0,0,0,622,625,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,HEALTH VALLEY,4026,3844,182,1248,1160,88,75,0,21,-21,0,0,0,0,0,0,0,0,0,4026,3822,203,0,21,-21,0,0,0,0,0,0,0,21,-21,0,6,-6,0,0,0,0,0,0,0,0,0,1248,1154,94,0,6,-6,0,0,0,0,0,0,0,6,-6
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,HEALTHY CHOICE,31935,22503,9433,15612,9029,6583,100,22041,12005,10035,795,486,309,2341,883,1458,18240,10009,8231,9895,10497,-603,665,627,38,3136,1370,1766,20581,10892,9689,21276,11589,9687,11640,4838,6803,349,210,139,1283,356,927,9691,3989,5702,3972,4192,-220,318,283,35,1632,566,1066,10974,4345,6629,11315,4661,6653
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,IMAGINE,2825,2349,476,614,524,90,63,245,292,-47,0,0,0,0,0,0,0,0,0,2580,2057,523,245,292,-47,0,0,0,0,0,0,245,292,-47,64,70,-6,0,0,0,0,0,0,0,0,0,550,454,96,64,70,-6,0,0,0,0,0,0,64,70,-6
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,MUIR GLEN,4840,5196,-355,1659,1768,-109,78,0,0,0,0,0,0,0,0,0,0,0,0,4840,5196,-355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1659,1768,-109,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,PACIFIC,2181,2315,-135,492,537,-45,53,0,0,0,0,0,0,0,0,0,0,0,0,2181,2315,-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492,537,-45,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,PRIVATE LABEL,79929,34633,45295,67013,18605,48408,100,67949,23875,44074,2098,1138,960,28905,3115,25789,12787,2998,9789,11980,10758,1221,24159,16624,7536,31003,4254,26749,41692,6113,35578,67520,23678,43843,60438,12814,47624,1393,618,775,28884,1668,27216,12436,1499,10936,6575,5791,784,17726,9029,8697,30277,2286,27991,41320,3168,38152,60203,12713,47490
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,PROGRESSO,239045,167366,71679,145769,74642,71127,100,136877,59331,77546,7475,6866,609,29830,6168,23662,57839,19581,38258,102167,108035,-5868,41733,26716,15017,37305,13034,24271,87669,25749,61920,131143,54558,76585,100472,26691,73781,4538,3228,1310,28431,2842,25589,42200,8559,33641,45297,47951,-2654,25303,12061,13241,32969,6070,26899,70632,11402,59230,97930,24523,73407
4 W/E 03/31/12,WEST CENSUS TA,SOUP,RTS SOUP,WOLFGANG PUCK,761,861,-100,250,285,-35,10,0,0,0,0,0,0,0,0,0,0,0,0,761,861,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,285,-35,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,WEST CENSUS TA,SOUP,SOUP IN OUT,NISSIN,6,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,CONDENSED SOUP,BAR HARBOR,107,146,-39,27,38,-11,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,CONDENSED SOUP,CAMPBELL'S,22477,19678,2799,18863,14275,4588,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,CONDENSED SOUP,DOMINIQUE'S,59,56,3,18,17,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,CONDENSED SOUP,PRIVATE LABEL,3674,3869,-194,3537,3620,-83,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,BEAR CREEK,1246,1249,-3,349,359,-10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,CUGINO'S,242,298,-56,57,73,-16,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,KNORR,327,446,-119,189,256,-67,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,LIPTON,2083,2080,3,1511,1510,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,MY FAVORITE GOURMET,5,9,-4,1,2,-1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,PRIVATE LABEL,465,523,-58,452,499,-47,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,SHORE LUNCH,167,211,-44,43,52,-9,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,DRY SOUP,WYLER'S,1376,1411,-35,787,808,-21,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RAMEN,MARUCHAN,3580,3362,217,8512,7717,795,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RAMEN,NISSIN,574,517,57,953,850,103,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,AMY'S,3609,4046,-438,1228,1378,-150,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,CAMPBELL'S,16145,16637,-492,7582,7792,-210,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,EARTH'S BEST,760,717,43,207,195,12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,HEALTH VALLEY,894,930,-36,299,311,-12,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,HEALTHY CHOICE,2280,2497,-217,1161,1268,-107,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,IMAGINE,621,652,-31,144,156,-12,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,MUIR GLEN,482,647,-165,178,238,-60,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,PACIFIC,604,713,-109,155,183,-28,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,PRIVATE LABEL,3704,3570,133,2279,1988,291,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,PROGRESSO,13987,14338,-351,7070,7171,-101,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 03/31/12,SOUTH CENSUS TA,SOUP,RTS SOUP,WOLFGANG PUCK,1766,2100,-334,789,909,-120,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,BAR HARBOR,1121,1148,-27,291,292,-1,36,0,0,0,0,0,0,0,0,0,0,0,0,1121,1148,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,292,-1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,CAMPBELL'S,579934,487723,92211,447154,337152,110002,100,209553,123718,85834,10520,8243,2277,49710,15744,33966,114194,69106,45088,370381,364004,6377,35129,30626,4503,60230,23986,36244,163904,84850,79054,160171,81180,78991,202390,94782,107607,10311,7691,2620,55377,13447,41929,103459,49502,53957,244764,242370,2395,33243,24142,9101,65687,21138,44549,158836,62949,95887,167061,64433,102628
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,DOMINIQUE'S,115,108,8,39,35,4,5,0,12,-12,0,0,0,0,0,0,0,0,0,115,95,20,0,12,-12,0,0,0,0,0,0,0,12,-12,0,4,-4,0,0,0,0,0,0,0,0,0,39,31,8,0,4,-4,0,0,0,0,0,0,0,4,-4
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,CONDENSED SOUP,PRIVATE LABEL,148625,133491,15135,166860,129836,37024,100,73752,59767,13985,1120,666,454,0,0,0,8632,5154,3478,74873,73724,1150,64000,53947,10053,1120,666,454,8632,5154,3478,73716,59741,13975,91068,54252,36816,1744,690,1054,0,0,0,14044,4788,9256,75792,75584,209,75280,48774,26506,1744,690,1054,14044,4788,9256,91013,54212,36801
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,ALESSI,33,31,2,13,12,1,3,0,0,0,0,0,0,0,0,0,0,0,0,33,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,BEAR CREEK,32340,30562,1778,8481,8148,333,100,493,262,231,0,0,0,0,0,0,0,0,0,31847,30300,1546,493,262,231,0,0,0,0,0,0,493,262,231,129,64,65,0,0,0,0,0,0,0,0,0,8352,8084,267,129,64,65,0,0,0,0,0,0,129,64,65
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,BOB'S RED MILL,84,111,-27,17,22,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,84,111,-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,-5,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,CUGINO'S,4,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,JOSIE'S CLASSIC CREATIONS,133,99,34,31,23,8,2,0,0,0,0,0,0,0,0,0,0,0,0,133,99,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,23,8,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,KNORR,7567,7373,194,3768,3672,96,94,602,361,241,0,0,0,0,0,0,0,0,0,6965,7012,-47,602,361,241,0,0,0,0,0,0,602,361,241,311,178,133,0,0,0,0,0,0,0,0,0,3457,3494,-37,311,178,133,0,0,0,0,0,0,311,178,133
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,LE GOUT,12,16,-5,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,-1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,LIPTON,42854,41861,993,29730,29053,677,100,133,155,-22,0,0,0,0,0,0,0,0,0,42721,41707,1015,133,155,-22,0,0,0,0,0,0,133,155,-22,107,108,-1,0,0,0,0,0,0,0,0,0,29623,28945,678,107,108,-1,0,0,0,0,0,0,107,108,-1
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,MRS WEISS,61,59,2,30,29,1,4,0,0,0,0,0,0,0,0,0,0,0,0,61,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,MY FAVORITE GOURMET,920,823,96,192,172,20,31,0,0,0,0,0,0,0,0,0,0,0,0,920,823,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,172,20,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,PRIVATE LABEL,11986,11903,83,12281,11165,1116,99,2433,2626,-193,451,514,-63,0,0,0,0,0,0,9553,9277,276,1982,2112,-131,451,514,-63,0,0,0,2139,2255,-116,2947,2163,785,451,416,35,0,0,0,0,0,0,9334,9003,331,2496,1747,750,451,416,35,0,0,0,2709,1862,846
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,SHORE LUNCH,7956,6989,967,1797,1588,209,84,3779,2838,942,3415,2597,818,0,0,0,0,0,0,4177,4152,25,364,241,124,3415,2597,818,0,0,0,364,241,124,864,648,215,781,596,185,0,0,0,0,0,0,933,940,-7,82,52,30,781,596,185,0,0,0,82,52,30
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY,34,49,-15,6,9,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,34,49,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,-3,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,TURTLE ISLAND JUST FOR JOY & TABASCO,40,43,-3,7,8,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,40,43,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,-1,0,0,0,0,0,0,0,0,0,0,0,0
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,DRY SOUP,WYLER'S,27634,28250,-615,15314,15543,-229,99,85,45,40,0,0,0,0,0,0,0,0,0,27549,28205,-656,85,45,40,0,0,0,0,0,0,85,45,40,56,25,31,0,0,0,0,0,0,0,0,0,15258,15518,-260,56,25,31,0,0,0,0,0,0,56,25,31
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,RAMEN,MARUCHAN,112821,106273,6549,225024,196633,28391,100,28358,22894,5464,8792,8322,471,0,0,0,15990,12166,3824,84463,83379,1084,3576,2407,1169,8792,8322,471,15990,12166,3824,18893,13995,4898,66773,44500,22273,2215,2111,104,0,0,0,59347,38593,20754,158251,152132,6118,5212,3796,1416,2215,2111,104,59347,38593,20754,61980,40255,21725
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,RAMEN,NISSIN,15741,15383,358,26049,25956,93,99,240,103,137,0,0,0,0,0,0,0,0,0,15501,15279,221,240,103,137,0,0,0,0,0,0,240,103,137,144,57,86,0,0,0,0,0,0,0,0,0,25905,25898,7,144,57,86,0,0,0,0,0,0,144,57,86
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,AMY'S,16480,16728,-248,4755,4843,-88,88,903,466,438,0,0,0,0,0,0,0,0,0,15576,16262,-686,903,466,438,0,0,0,0,0,0,903,466,438,230,113,117,0,0,0,0,0,0,0,0,0,4525,4731,-206,230,113,117,0,0,0,0,0,0,230,113,117
4 W/E 04/28/12,TOTAL CENSUS TRADING AREA,SOUP,RTS SOUP,BAXTERS,12,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
